trialId,trialNo,blockNo,cutNo,expCond,control,keyCode,reactionTime,segSize,segCenterX,segCenterY,segCentDist,intDiff,intStd,segNcut,segStab,leaf,correct,meanImgInt,meanSegInt,deltaInt,expTime,expType,participantID
140,12,5,2,1,0,0,0.41205809212678224,0.4358974358974359,0.23529411764705882,0.8235294117647058,0.7220578379655767,0.10543657331136674,0.0,,,1,1,0.4459459459459503,0.0,0.8945634266886333,0.3,3,my
141,13,5,5,2,1,1,0.5264518583705022,0.20512820512820512,0.4117647058823529,0.17647058823529413,0.4978586625371179,0.21581548599670553,0.8073734277593315,,,1,1,0.668918918918919,0.2,0.7841845140032946,0.6,3,my
142,14,5,5,2,0,1,0.3829186209312863,0.41025641025641024,0.35294117647058826,0.5294117647058824,0.29235267310234336,0.5140032948929151,0.0,,,1,0,0.7972972972973024,0.6,0.48599670510708504,0.6,3,my
143,15,5,5,1,1,1,0.00019365867077614755,0.6153846153846154,0.29411764705882354,0.7647058823529411,0.5919690451597532,0.5047522493980472,0.5902454943409091,,,1,1,0.2635135135135172,0.4307692307691999,0.49524775060195286,0.3,3,my
144,16,5,2,1,1,0,0.4691145213893612,0.2564102564102564,0.17647058823529413,0.11764705882352941,0.7844645405527358,0.2943437671608999,0.14907119849998546,,,1,0,0.4594594594594643,0.23333333333333334,0.7056562328391002,0.3,3,my
145,17,5,2,2,0,0,0.26823949897833044,0.38461538461538464,0.8823529411764706,0.23529411764705882,0.6666666666666673,0.03130148270181219,0.0,,,1,1,0.7500000000000032,0.0,0.9686985172981878,0.6,3,my
146,18,5,2,2,1,1,0.00021624077726242275,0.46153846153846156,0.29411764705882354,0.11764705882352941,0.6666666666666673,0.217462932454694,0.1924906012743147,,,1,1,0.25675675675676024,0.07999999999999924,0.782537067545306,0.6,3,my
147,19,5,5,2,0,0,0.3685611913498214,0.41025641025641024,0.17647058823529413,0.23529411764705882,0.6666666666666673,0.34925864909390375,0.0,,,1,1,0.7972972972973024,0.4,0.6507413509060963,0.6,3,my
148,20,5,2,2,0,0,0.05283015381836049,0.3333333333333333,0.35294117647058826,0.11764705882352941,0.6201736729460419,0.03624382207578253,0.0,,,1,1,0.7297297297297322,0.0,0.9637561779242176,0.6,3,my
149,21,5,2,1,0,0,0.15342146285517144,0.46153846153846156,0.17647058823529413,0.7058823529411765,0.6666666666666673,0.7166392092257003,0.0,,,1,1,0.6418918918918909,0.8,0.2833607907742997,0.3,3,my
